mode,issue_hour,lead_hour_bin,subset,points,independent_days,crps,coverage,width,interval_score,mae,raw_mae,center_mae,rmse,raw_rmse,center_rmse
binned,0,18,daylight,1582,334,116.02443364387028,0.7920353982300885,591.723377099428,938.4636015449546,160.05864981537974,223.86426638748407,232.41328907828492,219.96315691530506,270.66930606,287.3556546033576
binned,0,18,zero_pv,422,152,22.409160163078838,0.8720379146919431,67.24153406795251,173.34762783626127,34.32686324981082,109.98889492496066,112.1977324536745,68.35845016466793,163.4754548355582,183.26864794351425
binned,0,19,all,2004,334,24.081441493789445,0.7380239520958084,98.4897140592409,181.23996200652263,33.346981045008,94.76548420658682,82.76345178626315,65.29759455211307,153.6810603224004,137.92093732683782
binned,0,19,daylight,1024,334,39.00612228897307,0.7041015625,174.24767795524022,296.15230390402434,53.86380253890278,141.74535858561188,125.67552757071323,84.06456249105386,192.7446220685015,173.5235018356945
binned,0,19,zero_pv,980,314,8.486672989434316,0.773469387755102,19.330372192400695,61.16829047280723,11.908996137101568,45.676309345238174,37.92471137475612,36.53558133177401,97.3532752425381,86.23297359404286
binned,0,20,all,2004,334,0.2072658170241817,0.8188622754491018,0.5181233800010598,1.4796402897255918,0.2934186247710222,0.24375773453093805,0.41254500686127765,0.6095628885593275,0.8831251088084835,0.888248002336547
binned,0,20,daylight,473,268,0.35843706544817333,0.6004228329809725,0.826481518358433,2.737735960616624,0.46126807516542406,0.6261126849894291,0.8335126255515448,0.8720754959035111,1.2788554347259573,1.5009090401610417
binned,0,20,zero_pv,1531,334,0.1605617017370829,0.8863487916394513,0.42285662660913464,1.0909536454855788,0.241561805674646,0.12562978445460485,0.28248773472509414,0.501399859925392,0.7180429472327452,0.580313124395033
binned,0,21,all,2004,334,0.11012242175098201,0.8542914171656687,0.20919055136847195,0.7771083675729323,0.15042058885914986,0.0008088822355289424,0.2519842783183632,0.35030290343332,0.0035939903265125614,0.5502536365343088
binned,0,21,daylight,199,140,0.0036201396386898108,0.48743718592964824,0.0077537597041363,0.02766791392079707,0.004542181915478813,0.008145728643216084,0.008145728643216084,0.0066348746782060155,0.011405103327438456,0.011405103327438456
binned,0,21,zero_pv,1805,334,0.12186422459881921,0.8947368421052632,0.2313988181503018,0.8597336585849961,0.1665035822008621,0.0,0.2788673095567866,0.3691018795865883,0.0,0.579780911957835
binned,0,22,all,2004,334,0.10963440928554927,0.907185628742515,0.2076141366627921,0.7734937748907408,0.14969231306938355,0.0,0.25117539608283423,0.35029345375840126,0.0,0.5502418993068086
