mode,issue_hour,lead_hour_bin,release_target_points,independent_days,sigma_mean_kw,R_mean,R_p10,R_p90
binned,12,11,2004,334,101.40541520193297,0.8693305421655202,0.809338801767401,0.9327306523885592
exponential,12,11,2004,334,97.52991947653504,0.8777546915534354,0.8215225731764585,0.9383720750627861
pooled,12,12,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,12,12,2004,334,101.40541520193297,0.8693305421655202,0.809338801767401,0.9327306523885592
exponential,12,12,2004,334,100.2904966588958,0.8717385018910743,0.8122927001587237,0.9350150414532252
pooled,18,1,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,18,1,2004,334,101.18420403333936,0.8698376094416165,0.8103483742019815,0.9327306523885592
exponential,18,1,2004,334,73.81132329390819,0.9256298729344898,0.8919068845003196,0.9645539271762876
pooled,18,2,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,18,2,2004,334,101.18420403333936,0.8698376094416165,0.8103483742019815,0.9327306523885592
exponential,18,2,2004,334,75.89404829480378,0.9217510249726041,0.8863688057226817,0.9625377801143363
pooled,18,3,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,18,3,2004,334,101.18420403333936,0.8698376094416165,0.8103483742019815,0.9327306523885592
exponential,18,3,2004,334,78.03621191998295,0.917687906385919,0.8806072285593421,0.9604433427414193
pooled,18,4,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,18,4,2004,334,101.18420403333936,0.8698376094416165,0.8103483742019815,0.9327306523885592
exponential,18,4,2004,334,80.23952866041195,0.913433850791901,0.8744681871983612,0.9582062537673278
pooled,18,5,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,18,5,2004,334,101.18420403333936,0.8698376094416165,0.8103483742019815,0.9327306523885592
exponential,18,5,2004,334,82.50576295787106,0.9089821808734757,0.868088533717976,0.9558158397702124
pooled,18,6,2004,334,292.5699483885747,0.45506661631388184,0.372312287561385,0.5729866671004469
binned,18,6,2004,334,101.18420403333936,0.8698376094416165,0.8103483742019815,0.9327306523885592
exponential,18,6,2004,334,84.83673067393757,0.9043262367472961,0.8612873264727579,0.9533462808513463
